SongID,segment_num,segment_start,segment_end,duration,start_beat_idx,end_beat_idx,num_beats,num_components,seg_type
55,2,11.178666666666667,28.544,17.365333333333332,24,61,37,3,chroma_acts
55,3,28.544,104.576,76.032,61,223,162,3,chroma_acts
55,4,104.576,117.248,12.672000000000011,223,250,27,3,chroma_acts
55,5,117.248,150.10133333333332,32.85333333333331,250,320,70,3,chroma_acts
55,6,150.10133333333332,163.712,13.610666666666674,320,349,29,3,chroma_acts
55,7,163.712,189.99466666666666,26.28266666666667,349,405,56,3,chroma_acts
55,8,189.99466666666666,193.27999999999997,3.2853333333333126,405,412,7,3,chroma_acts
55,9,193.27999999999997,223.669,30.38900000000004,412,475,63,3,chroma_acts
56,1,0.0,14.837333333333333,14.837333333333333,0,32,32,3,chroma_acts
56,2,14.837333333333333,44.87466666666667,30.037333333333336,32,96,64,3,chroma_acts
56,3,44.87466666666667,56.138666666666666,11.263999999999996,96,120,24,3,chroma_acts
56,4,56.138666666666666,59.424,3.285333333333334,120,127,7,3,chroma_acts
56,5,59.424,71.15733333333334,11.733333333333341,127,152,25,3,chroma_acts
56,6,71.15733333333334,97.44,26.282666666666657,152,208,56,3,chroma_acts
56,7,97.44,119.968,22.528000000000006,208,256,48,3,chroma_acts
56,8,119.968,165.306,45.33800000000001,256,351,95,3,chroma_acts
58,1,0.0,31.104,31.104,0,67,67,4,chroma_acts
58,2,31.104,90.24,59.135999999999996,67,193,126,4,chroma_acts
58,3,90.24,137.17333333333332,46.93333333333332,193,293,100,4,chroma_acts
58,4,137.17333333333332,212.26666666666665,75.09333333333333,293,453,160,4,chroma_acts
58,5,212.26666666666665,259.2,46.93333333333334,453,553,100,4,chroma_acts
58,6,259.2,274.21866666666665,15.018666666666661,553,585,32,4,chroma_acts
58,7,274.21866666666665,335.23199999999997,61.01333333333332,585,715,130,4,chroma_acts
58,8,335.23199999999997,365.73866666666663,30.50666666666666,715,780,65,4,chroma_acts
58,9,365.73866666666663,381.109,15.370333333333349,780,811,31,4,chroma_acts
61,1,0.0,14.837333333333333,14.837333333333333,0,32,32,4,chroma_acts
61,2,14.837333333333333,28.917333333333332,14.079999999999998,32,62,30,4,chroma_acts
61,3,28.917333333333332,59.89333333333333,30.976,62,128,66,4,chroma_acts
61,4,59.89333333333333,119.96799999999999,60.07466666666666,128,256,128,4,chroma_acts
61,5,119.96799999999999,147.18933333333334,27.221333333333348,256,314,58,4,chroma_acts
61,6,147.18933333333334,149.536,2.346666666666664,314,319,5,4,chroma_acts
61,7,149.536,153.76000000000002,4.224000000000018,319,328,9,4,chroma_acts
61,8,153.76000000000002,210.08,56.31999999999999,328,448,120,4,chroma_acts
61,9,210.08,240.392,30.311999999999983,448,511,63,4,chroma_acts
64,1,0.0,30.784,30.784,0,65,65,4,chroma_acts
64,2,30.784,35.104,4.32,65,74,9,4,chroma_acts
64,3,35.104,60.544,25.439999999999998,74,127,53,4,chroma_acts
64,4,60.544,139.744,79.2,127,292,165,4,chroma_acts
64,5,139.744,184.38400000000001,44.640000000000015,292,385,93,4,chroma_acts
64,6,184.38400000000001,185.824,1.4399999999999977,385,388,3,4,chroma_acts
64,7,185.824,247.744,61.91999999999999,388,517,129,4,chroma_acts
64,8,247.744,278.926,31.181999999999988,517,580,63,4,chroma_acts
65,1,0.0,16.11733333333333,16.11733333333333,0,34,34,3,chroma_acts
65,2,16.11733333333333,48.757333333333335,32.64,34,102,68,3,chroma_acts
65,3,48.757333333333335,108.75733333333334,60.0,102,227,125,3,chroma_acts
65,4,108.75733333333334,116.43733333333333,7.679999999999993,227,243,16,3,chroma_acts
65,5,116.43733333333333,133.2373333333333,16.799999999999983,243,278,35,3,chroma_acts
65,6,133.2373333333333,136.59733333333332,3.3600000000000136,278,285,7,3,chroma_acts
65,7,136.59733333333332,139.9573333333333,3.359999999999985,285,292,7,3,chroma_acts
65,8,139.9573333333333,150.5173333333333,10.560000000000002,292,314,22,3,chroma_acts
65,9,150.5173333333333,196.5,45.98266666666669,314,408,94,3,chroma_acts
66,1,0.0,28.895999999999997,28.895999999999997,0,61,61,4,chroma_acts
66,2,28.895999999999997,46.175999999999995,17.279999999999998,61,97,36,4,chroma_acts
66,3,46.175999999999995,62.495999999999995,16.32,97,131,34,4,chroma_acts
66,4,62.495999999999995,92.256,29.760000000000005,131,193,62,4,chroma_acts
66,5,92.256,103.296,11.040000000000006,193,216,23,4,chroma_acts
66,6,103.296,107.136,3.839999999999989,216,224,8,4,chroma_acts
66,7,107.136,138.336,31.200000000000017,224,289,65,4,chroma_acts
66,8,138.336,182.496,44.16,289,381,92,4,chroma_acts
66,9,182.496,245.769,63.272999999999996,381,511,130,4,chroma_acts
67,1,0.0,183.43466666666666,183.43466666666666,0,383,383,3,chroma_acts
67,2,183.43466666666666,199.75466666666665,16.319999999999993,383,417,34,3,chroma_acts
67,3,199.75466666666665,245.83466666666666,46.08000000000001,417,513,96,3,chroma_acts
67,4,245.83466666666666,261.19466666666665,15.359999999999985,513,545,32,3,chroma_acts
67,5,261.19466666666665,288.07466666666664,26.879999999999995,545,601,56,3,chroma_acts
